Number,Name,LocalName,StNo,Street,Loclist,Country,Postcode,Coordinates,PlusCode,Website,Phone,Notes,GoogleURL,AppleURL,BingURL
1,Baza hotelieră militarizată Green Village,,,Jalalabad Road,Kabul,Afghanistan,,"34.54584, 69.23227","G6WM+MJ Kabul, Afghanistan",,,,"https://www.google.ro/maps/place/Green+Village,+Kabul/@34.5462851,69.2339672,17z/data=!4m5!3m4!1s0x38d16c640aaa9665:0x356357cdfae2f91c!8m2!3d34.5466397!4d69.2341091",,
2,Aeroportul Internațional Hamid Karzai,حامد کرزی نړیوال هوایی ډګر,1,Great Massoud Avenue,Kabul,Afghanistan,,"34.570729, 69.21584","H666+92 Kabul, Afghanistan",http://hamidkarzaiairport.com/,+93 20 230 0016,bază militară NATO,https://goo.gl/maps/5VCBwTeyKGSkzBDi8,"https://maps.apple.com/?address=Kabul,%20%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86&auid=12504435004193769973&ll=34.561522,69.210187 ",https://www.bing.com/maps?osid=888b153d-ccc0-46cd-a934-7fbb38f9e401&cp=34.557875~69.210856&lvl=16&v=2&sV=2&form=S00027
3,Kandahar Airfield (KAF),د کندهار نړيوال هوايي ډګر,,Airport Road,Kandahar,Afghanistan,,"31.628871, 65.737175","GV22+W7 Khvoshab, Afghanistan",http://www.kandaharinternationalairport.com/,+93 70 300 7296,bază militară NATO,"https://www.google.ro/maps/place/Aeroportul+Internațional+Kandahar/@31.502574,65.851282,15z/data=!4m5!3m4!1s0x0:0xafc2e135e9d8716d!8m2!3d31.5022998!4d65.8507244?hl=ro","https://maps.apple.com/?address=Kandahar%20International%20Airport,%20Kandahar,%20Afghanistan&auid=5053275812592132784&ll=31.502230,65.850710",https://www.bing.com/maps?osid=04d25dcd-5a2e-4494-a14a-19de9b0d58c5&cp=31.510412~65.800963&lvl=11&style=h&v=2&sV=2&form=S00027
4,Ambasada României în Republica Africa de Sud,,877,Justice Mahomed St,"Brooklyn, Pretoria",Africa de Sud,0181,"-25.767059, 28.234627","66MM+5R Pretoria, South Africa",https://pretoria.mae.ro/,+27 12 460 6941,,"https://www.google.ro/maps/place/Embassy+of+Romania/@--25.767238,28.234636,15z/data=!4m8!1m2!3m1!2sEmbassy+of+Romania!3m4!1s0x1e9561a0b627f733:0x27cf6793b31f4ba9!8m2!3d-25.767235!4d28.23464","https://maps.apple.com/?address=117%20Justice%20Mahomed%20Street,%20Pretoria,%20GP,%200181,%20South%20Africa&auid=2379087753388876598&ll=-25.767060,28.234620",
5,Consulatul General al României la Cape Town,,24,Highwick Dr,"Kenilworth, Cape Town",Africa de Sud,7708,"-33.99151, 18.461623","2F56+9G Kenilworth, Southern Suburbs, Cape Town, South Africa",https://capetown.mae.ro/,+27 21 761 1781,,https://goo.gl/maps/CJymBYNCBKRxFHGv5,"https://maps.apple.com/?address=53%20Herschel%20Road\,%20Southern%20Suburbs\,%20WC\,%207708\,%20South%20Africa&auid=1111729331254364514&ll=-33.991500\,18.461360",
6,Ambasada României în Republica Albania,,15,Rruga Pandeli Vangjeli,Tirana,Albania,,"41.315014, 19.835769","8R7P+R8 Tirana, Albania",https://tirana.mae.ro,+355 4 230 3134,,,,
7,Ambasada României în Republica Algeriană Democratică și Populară,Ambassade de Roumanie,24,Rue Abri Arezki,Hydra,Algeria,16035,"36.745824, 3.038152","P2WQ+67 Algiers, Algeria",https://alger.mae.ro/,+213 23 48 5587,,https://goo.gl/maps/EsMcpD84pe5ubxXU9,,
8,Ambasada României în Republica Angola,Embaixada da Romênia,,Rau Ramalho Ortigao,Luanda,Angola,,"-8.828362, 13.236122","56CP+JG Luanda, Angola",https://luanda.mae.ro/,+244 222 321 076,,https://goo.gl/maps/eMd5p7Cx5CbAUvds7,,
9,Ambasada României în Regatul Arabiei Saudite,سفارة رومانيا,,Amin Al Rehany,Riyadh,Arabia Saudită,,"24.742237, 46.665579","PMR8+V8 King Fahd, Riyadh Saudi Arabia",https://riyadh.mae.ro/,+966 11 263 0456,Villa no. 8,https://goo.gl/maps/HLVBAe2QBLgAyaFe7,"https://maps.apple.com/?address=Ameen%20Al%20Raihany%20Alley%202717,%20Riyadh,%20Riyadh%2012273,%20Saudi%20Arabia&auid=4734480546829549215&ll=24.742145,46.665783",
10,Ambasada României în Republica Argentina,Embajada de Rumania,962–970,Calle Arroyo ,Buenos Aires,Argentina,,"-34.591484, -58.380916","CJ59+7J Buenos Aires, Argentina",https://buenosaires.mae.ro/,+54 11 4322 8656,,https://goo.gl/maps/Hzo9cGyJPA2zyhBv8,"https://maps.apple.com/?address=Calle%20Suipacha%201390,%20C1011%20Buenos%20Aires,%20Autonomous%20City%20of%20Buenos%20Aires,%20Argentina&auid=9297824246768659300&ll=-34.591575,-58.381242",
